Probe Name,Annotation,Accession #,NS Probe ID,Class Name,Analyte Type,% Samples above Threshold,20190927_RQ-016723_Control-1_01.RCC,20190927_RQ-016723_Control-2_02.RCC,20190927_RQ-016723_Control-3_03.RCC,20190927_RQ-016723_Control-K-1_07.RCC,20190927_RQ-016723_Control-K-2_08.RCC,20190927_RQ-016723_Control-K-3_09.RCC,20190927_RQ-016723_FHKO-1_04.RCC,20190927_RQ-016723_FHKO-2_05.RCC,20190927_RQ-016723_FHKO-3_06.RCC,20190927_RQ-016723_FHKO-K-1_10.RCC,20190927_RQ-016723_FHKO-K-2_11.RCC,20190927_RQ-016723_FHKO-K-3_12.RCC
Adamts14,,NM_001081127.1,,Endogenous,mRNA,100.00,7.27,8.08,7.62,27.96,26.45,29.14,9.67,7.49,6.74,15.41,25.99,23.29
Adamts17,,NM_001033877.4,,Endogenous,mRNA,100.00,17.45,17.18,18.09,33.55,25.50,33.42,20.73,20.81,25.82,19.47,22.88,24.89
Adamts2,,NM_001277305.1,,Endogenous,mRNA,100.00,24.72,23.24,19.04,114.62,102.02,108.84,17.97,17.48,21.33,90.84,80.06,90.74
Adamts3,,NM_001081401.2,,Endogenous,mRNA,100.00,13.09,12.13,8.57,32.15,29.28,25.71,17.97,9.16,13.47,25.14,29.11,29.71
Adamts4,,NM_172845.2,,Endogenous,mRNA,100.00,17.45,13.14,15.23,39.14,17.95,18.00,16.58,14.15,15.72,21.90,11.44,15.26
Adamts9,,NM_175314.3,,Endogenous,mRNA,100.00,8.73,9.09,3.81,96.45,118.08,122.55,13.82,2.50,7.86,117.60,135.17,111.61
Adcyap1r1,,NM_001025372.1,,Endogenous,mRNA,100.00,8.73,11.12,8.57,18.17,18.89,24.00,11.06,9.99,14.60,13.79,22.88,15.26
Adgre1,,NM_010130.1,,Endogenous,mRNA,100.00,11645.04,12445.21,12145.96,153.76,116.19,126.84,13172.23,12969.42,12978.94,108.68,60.31,64.24
Adgre5,,NM_011925.1,,Endogenous,mRNA,100.00,279.24,243.53,251.30,331.28,316.44,346.23,215.60,298.81,234.65,315.50,363.92,323.60
Adora2a,,NM_009630.2,,Endogenous,mRNA,100.00,4.36,5.05,5.71,29.35,27.39,34.28,13.82,4.16,1.12,30.01,31.19,25.70
Adora3,,NM_009631.4,,Endogenous,mRNA,100.00,26.18,23.24,21.89,25.16,21.73,16.28,20.73,24.97,19.09,19.47,7.28,8.83
Aif1,,NM_019467.2,,Endogenous,mRNA,100.00,17.45,5.05,8.57,12.58,13.22,12.00,6.91,5.83,11.23,8.11,9.36,4.82
Akap13,,NM_029332.1,,Endogenous,mRNA,100.00,168.71,138.44,148.49,563.32,633.83,661.61,157.55,186.44,158.31,613.16,662.34,647.20
Alcam,,NM_009655.1,,Endogenous,mRNA,100.00,1960.47,2202.87,3251.61,430.53,458.13,414.79,2696.36,4198.29,2938.22,413.64,325.45,350.90
Alox15,,NM_009660.3,,Endogenous,mRNA,100.00,11.63,6.06,9.52,9.78,13.22,10.28,5.53,7.49,5.61,8.92,6.24,12.85
Alox5,,NM_009662.2,,Endogenous,mRNA,100.00,17.45,24.25,22.85,15.38,20.78,18.00,19.35,19.14,12.35,13.79,12.48,10.44
Alox5ap,,NM_009663.1,,Endogenous,mRNA,100.00,2937.80,3087.05,2865.15,61.50,59.51,67.70,3065.37,3010.55,3135.83,57.58,57.19,36.13
Amica1,,NM_001005421.4,,Endogenous,mRNA,100.00,18.91,18.19,15.23,51.72,18.89,30.85,13.82,11.65,8.98,39.74,21.84,27.30
Angpt1,,NM_009640.3,,Endogenous,mRNA,100.00,2.91,13.14,11.42,166.34,135.08,134.55,19.35,7.49,11.23,173.57,142.45,165.41
Angpt2,,NM_007426.3,,Endogenous,mRNA,100.00,71.26,65.68,118.98,104.84,149.25,174.83,82.92,84.90,92.07,114.36,99.82,70.66
Anxa1,,NM_010730.2,,Endogenous,mRNA,100.00,6786.03,6216.54,7713.07,139.78,96.35,128.55,6110.00,11514.50,5558.71,118.41,91.50,95.55
Anxa4,,NM_013471.2,,Endogenous,mRNA,100.00,5206.60,5099.95,5365.74,974.28,1058.90,1067.83,4363.10,5177.12,4607.75,1019.49,941.01,988.47
Aoah,,NM_001281854.1,,Endogenous,mRNA,100.00,36.36,54.57,53.31,547.94,590.38,648.75,62.19,63.26,56.14,824.03,817.27,832.69
Apoe,,NM_001305844.1,,Endogenous,mRNA,100.00,12613.64,14823.90,12568.59,1551.58,1254.43,1144.96,12354.06,13370.61,12875.64,1405.56,1269.58,1172.35
Areg,,NM_009704.3,,Endogenous,mRNA,100.00,16.00,9.09,16.18,12.58,17.95,14.57,23.49,27.47,12.35,7.30,14.56,11.24
Arf6,,NM_007481.2,,Endogenous,mRNA,100.00,4107.11,4214.76,4432.90,1715.12,1542.54,1580.31,4498.54,5604.10,5139.93,1631.84,1248.78,1447.77
Arg1,,NM_007482.3,,Endogenous,mRNA,100.00,21.82,10.10,21.89,16.77,13.22,7.71,13.82,9.99,24.70,15.41,13.52,17.67
Arhgef28,,NM_012026.2,,Endogenous,mRNA,100.00,16.00,10.10,4.76,856.86,779.30,863.00,5.53,4.16,5.61,954.61,951.40,895.32
Arhgef6,,NM_152801.2,,Endogenous,mRNA,100.00,503.21,626.50,770.07,143.98,123.74,139.69,843.04,1057.06,756.73,140.31,128.93,118.84
Armc1,,NM_028840.2,,Endogenous,mRNA,100.00,193.43,266.77,348.39,821.92,897.37,958.13,304.05,380.38,350.30,870.26,826.63,867.22
Atf3,,NM_007498.3,,Endogenous,mRNA,100.00,5286.59,4508.81,4984.03,47.53,29.28,40.28,3902.88,4372.25,3902.66,23.52,31.19,17.67
B4galt4,,NM_019804.3,,Endogenous,mRNA,100.00,186.16,197.05,234.16,187.31,173.81,159.40,216.98,275.50,218.94,180.87,162.21,170.23
Batf,,NM_016767.2,,Endogenous,mRNA,100.00,42.18,45.47,33.32,18.17,12.28,11.14,44.23,39.12,28.07,7.30,11.44,13.65
Batf3,,NM_030060.2,,Endogenous,mRNA,100.00,50.90,39.41,39.98,26.56,19.84,19.71,37.32,47.44,46.03,26.76,17.68,23.29
Bcl10,,NM_009740.1,,Endogenous,mRNA,100.00,562.84,588.11,700.58,289.35,331.56,352.23,689.64,762.42,690.49,309.01,381.60,332.43
Bcl2,,NM_009741.3,,Endogenous,mRNA,100.00,16.00,26.27,37.12,117.42,115.24,95.98,31.79,50.77,38.17,96.52,118.54,85.92
Bcl6,,NM_009744.3,,Endogenous,mRNA,100.00,343.23,350.64,364.57,176.12,151.14,72.85,422.90,397.02,430.01,366.60,137.25,110.81
Bid,,NM_007544.3,,Endogenous,mRNA,100.00,318.50,312.24,386.46,1031.59,871.87,784.16,359.33,437.81,509.73,1006.52,946.20,1030.22
Birc2,,NM_007465.2,,Endogenous,mRNA,100.00,68.35,80.84,95.19,441.71,440.18,439.64,93.98,131.51,70.73,437.97,475.18,475.36
Birc3,,NM_007464.3,,Endogenous,mRNA,100.00,123.62,155.62,208.46,146.77,109.57,106.27,169.99,241.38,208.83,118.41,98.78,83.51
Birc5,,NM_009689.2,,Endogenous,mRNA,100.00,225.43,272.83,281.76,19.57,16.06,25.71,337.22,364.56,357.03,16.22,28.07,16.06
Bmp6,,NM_007556.2,,Endogenous,mRNA,100.00,11.63,12.13,10.47,1016.21,730.18,605.90,8.29,5.83,6.74,773.75,736.17,741.95
Bmp8a,,NM_001256019.1,,Endogenous,mRNA,100.00,17.45,8.08,10.47,18.17,12.28,8.57,9.67,16.65,20.21,17.84,12.48,9.64
Btg2,,NM_007570.2,,Endogenous,mRNA,100.00,219.61,254.64,277.00,171.93,181.36,173.11,290.23,298.81,259.35,187.35,190.28,181.47
Btk,,NM_013482.2,,Endogenous,mRNA,100.00,794.08,859.93,947.12,41.93,21.73,35.99,892.80,1047.08,944.23,33.25,32.23,21.68
Btla,,NM_001037719.2,,Endogenous,mRNA,100.00,23.27,13.14,5.71,39.14,34.01,35.14,12.44,9.16,12.35,26.76,35.35,27.30
C1qa,,NM_007572.2,,Endogenous,mRNA,100.00,3203.95,3276.01,2919.41,360.64,206.87,272.53,3851.75,3179.51,3353.64,274.14,196.52,193.52
C1qb,,NM_009777.2,,Endogenous,mRNA,100.00,19644.01,19615.65,16680.71,391.39,264.49,351.37,19247.68,17597.20,17182.49,315.50,237.07,234.47
C1qc,,NM_007574.2,,Endogenous,mRNA,100.00,16579.68,16909.56,14817.88,433.32,295.66,338.52,16044.11,15643.71,16484.15,339.83,257.87,236.88
C3,,XM_011246258.1,,Endogenous,mRNA,100.00,145.44,153.59,114.23,540.96,328.72,294.81,121.62,146.49,149.33,390.93,296.34,272.21
C3ar1,,NM_009779.2,,Endogenous,mRNA,100.00,10490.28,11681.28,12150.72,146.77,84.07,82.27,13246.86,13379.76,12746.53,91.65,74.86,59.42
C4a,,NM_011413.2,,Endogenous,mRNA,100.00,4.36,5.05,9.52,114.62,93.52,118.27,11.06,4.99,4.49,102.19,120.62,101.98
C5ar1,,NM_007577.3,,Endogenous,mRNA,100.00,10791.33,9527.92,9392.18,71.29,38.73,70.27,9104.88,9677.54,10597.59,36.50,35.35,29.71
Calr,,NM_007591.3,,Endogenous,mRNA,100.00,14374.87,12695.81,12326.82,11675.97,10316.00,8354.92,12112.20,12093.81,12499.52,10722.13,9288.40,8905.84
Camp,,NM_009921.2,,Endogenous,mRNA,100.00,8.73,9.09,10.47,12.58,7.56,6.00,16.58,9.16,12.35,6.49,12.48,8.03
Casp1,,NM_009807.2,,Endogenous,mRNA,100.00,527.93,531.52,571.13,55.91,51.95,53.13,533.47,939.70,598.42,34.06,38.47,32.12
Casp7,,NM_007611.2,,Endogenous,mRNA,100.00,427.58,441.58,434.06,278.17,318.33,301.67,436.72,494.41,465.94,294.41,248.51,276.22
Cav1,,NM_007616.3,,Endogenous,mRNA,100.00,29.09,23.24,29.51,644.39,572.43,543.34,46.99,49.11,39.30,479.33,648.83,590.19
Cbr1,,NM_007620.2,,Endogenous,mRNA,100.00,318.50,303.15,287.47,795.36,474.19,430.22,239.09,271.34,267.21,514.21,435.67,397.47
Ccl1,,NM_011329.2,,Endogenous,mRNA,100.00,13.09,8.08,8.57,6.99,19.84,8.57,9.67,11.65,4.49,6.49,9.36,9.64
Ccl11,,NM_011330.3,,Endogenous,mRNA,100.00,5.82,6.06,2.86,29.35,25.50,22.28,8.29,3.33,5.61,8.92,25.99,24.09
Ccl12,,NM_011331.2,,Endogenous,mRNA,100.00,17.45,18.19,27.60,37.74,31.17,24.00,19.35,34.96,37.05,13.79,27.03,41.75
Ccl17,,NM_011332.2,,Endogenous,mRNA,100.00,23.27,19.20,13.33,16.77,14.17,14.57,15.20,18.31,12.35,13.79,11.44,8.83
Ccl19,,NM_011888.2,,Endogenous,mRNA,100.00,5.82,10.10,10.47,128.60,102.96,124.27,1.38,12.49,5.61,106.25,86.30,107.60
Ccl2,,NM_011333.3,,Endogenous,mRNA,100.00,1237.66,1030.70,1256.48,43.33,35.89,40.28,912.15,1833.63,1683.00,44.61,23.92,34.53
Ccl20,,NM_016960.1,,Endogenous,mRNA,100.00,4.36,9.09,9.52,12.58,10.39,5.14,11.06,7.49,6.74,10.54,6.24,8.83
Ccl21a,,NM_011124.4,,Endogenous,mRNA,100.00,10.18,11.12,4.76,626.22,492.14,504.77,11.06,8.32,11.23,468.79,426.31,544.42
Ccl22,,NM_009137.2,,Endogenous,mRNA,100.00,45.09,25.26,20.94,16.77,25.50,26.57,29.02,32.46,26.95,25.95,28.07,16.86
Ccl24,,NM_019577.4,,Endogenous,mRNA,100.00,16.00,17.18,14.28,9.78,23.62,12.00,16.58,25.80,13.47,21.90,21.84,17.67
Ccl25,,NM_009138.3,,Endogenous,mRNA,100.00,23.27,16.17,17.13,81.07,105.80,86.56,22.11,24.14,24.70,101.38,83.18,57.01
Ccl26,,NM_001013412.2,,Endogenous,mRNA,100.00,32.00,27.28,32.36,13.98,9.45,13.71,33.17,27.47,24.70,7.30,9.36,13.65
Ccl27a,,NM_001048179.1,,Endogenous,mRNA,100.00,27.63,18.19,19.99,79.68,96.35,84.84,23.49,37.46,33.68,102.19,109.18,74.68
Ccl28,,NM_020279.3,,Endogenous,mRNA,100.00,5.82,8.08,2.86,53.12,121.85,133.69,4.15,3.33,7.86,103.00,75.90,91.54
Ccl3,,NM_011337.1,,Endogenous,mRNA,100.00,1685.60,1482.39,1484.93,40.54,32.12,29.14,1196.85,1490.71,1563.98,29.20,28.07,16.86
Ccl4,,NM_013652.1,,Endogenous,mRNA,100.00,215.24,202.10,210.37,15.38,19.84,13.71,140.97,233.05,287.42,12.17,16.64,8.83
Ccl5,,NM_013653.1,,Endogenous,mRNA,100.00,20.36,41.43,23.80,86.66,75.57,77.99,22.11,23.31,20.21,115.17,43.67,40.15
Ccl6,,NM_009139.2,,Endogenous,mRNA,100.00,1060.23,1284.33,1661.98,36.34,33.06,31.71,1122.22,1731.25,1324.84,19.47,30.15,21.68
Ccl7,,NM_013654.3,,Endogenous,mRNA,100.00,100.35,98.02,115.18,16.77,15.11,8.57,93.98,193.10,143.71,17.03,16.64,5.62
Ccl8,,NM_021443.2,,Endogenous,mRNA,100.00,17.45,10.10,5.71,34.95,30.23,29.14,8.29,14.98,5.61,28.39,32.23,23.29
Ccl9,,NM_011338.2,,Endogenous,mRNA,100.00,22914.86,24796.44,25463.68,103.44,75.57,98.56,24564.39,26046.21,24755.41,91.65,80.06,52.19
Ccnb2,,NM_007630.2,,Endogenous,mRNA,100.00,308.32,393.08,332.21,37.74,23.62,44.56,443.63,433.65,445.73,31.63,30.15,17.67
Ccr1,,NM_009912.4,,Endogenous,mRNA,100.00,146.89,132.37,195.13,19.57,17.00,14.57,140.97,170.63,112.27,17.03,19.76,16.06
Ccr2,,NM_009915.2,,Endogenous,mRNA,100.00,98.90,158.65,204.65,187.31,143.58,216.82,237.71,510.22,255.99,223.04,141.41,135.70
Ccr3,,NM_009914.4,,Endogenous,mRNA,100.00,47.99,64.67,100.90,6.99,14.17,7.71,73.25,88.23,76.35,8.11,12.48,6.42
Ccr4,,NM_009916.2,,Endogenous,mRNA,100.00,11.63,7.07,9.52,9.78,9.45,9.43,5.53,10.82,6.74,7.30,18.72,12.04
Ccr5,,NM_009917.5,,Endogenous,mRNA,100.00,273.42,423.40,573.98,51.72,28.34,47.99,634.36,764.08,564.74,26.76,23.92,24.09
Ccr6,,NM_001190333.1,,Endogenous,mRNA,100.00,8.73,8.08,16.18,12.58,13.22,19.71,5.53,6.66,13.47,8.11,14.56,9.64
Ccr7,,NM_007719.2,,Endogenous,mRNA,100.00,8.73,18.19,9.52,29.35,21.73,17.14,15.20,5.83,11.23,14.60,17.68,16.06
Ccr8,,NM_007720.2,,Endogenous,mRNA,100.00,27.63,16.17,20.94,18.17,17.95,13.71,9.67,19.98,16.84,8.11,14.56,11.24
Ccr9,,NM_009913.6,,Endogenous,mRNA,100.00,26.18,24.25,26.65,33.55,25.50,26.57,22.11,25.80,30.31,13.79,19.76,24.09
Ccrl2,,NM_017466.4,,Endogenous,mRNA,100.00,126.53,111.15,117.08,88.06,76.51,59.99,120.24,97.38,86.45,81.92,73.82,67.45
Cd14,,NM_009841.3,,Endogenous,mRNA,100.00,3551.54,3413.44,3196.41,62.90,51.01,74.56,3579.48,3440.03,3637.69,55.15,37.43,39.35
Cd151,,NM_009842.3,,Endogenous,mRNA,100.00,715.54,578.00,522.58,989.65,950.27,970.98,556.96,560.16,461.45,897.84,876.54,947.52
Cd163,,NM_053094.2,,Endogenous,mRNA,100.00,39.27,24.25,21.89,19.57,30.23,24.00,17.97,31.63,22.45,15.41,35.35,28.10
Cd180,,NM_008533.2,,Endogenous,mRNA,100.00,3874.41,3750.94,4496.67,125.80,92.57,96.84,4473.67,5214.57,4560.59,99.76,71.75,81.10
Cd1d1,,NM_007639.3,,Endogenous,mRNA,100.00,79.99,72.76,74.25,197.09,160.58,107.13,84.30,129.01,149.33,108.68,107.10,81.10
Cd1d2,,NM_007640.2,,Endogenous,mRNA,100.00,11.63,14.15,14.28,16.77,9.45,10.28,12.44,9.16,13.47,4.06,14.56,7.23
Cd209e,,NM_130905.2,,Endogenous,mRNA,100.00,11.63,2.02,6.66,9.78,13.22,10.28,9.67,14.15,4.49,8.11,12.48,5.62
Cd244,,NM_018729.2,,Endogenous,mRNA,100.00,55.27,64.67,81.86,33.55,28.34,32.57,84.30,94.89,85.33,25.95,24.95,16.06
Cd247,,NM_001113391.2,,Endogenous,mRNA,100.00,14.54,15.16,11.42,29.35,35.89,27.42,16.58,17.48,20.21,23.52,27.03,21.68
Cd27,,NM_001042564.1,,Endogenous,mRNA,100.00,7.27,7.07,7.62,9.78,17.00,14.57,9.67,4.99,6.74,9.73,13.52,10.44
Cd274,,NM_021893.2,,Endogenous,mRNA,100.00,158.52,129.34,178.00,159.35,140.75,121.69,147.88,219.74,161.68,127.34,106.06,201.55
Cd276,,NM_133983.4,,Endogenous,mRNA,100.00,88.72,71.74,81.86,20.97,17.00,10.28,64.96,67.42,69.61,17.03,19.76,12.04
Cd28,,NM_007642.4,,Endogenous,mRNA,100.00,82.90,191.99,241.78,20.97,29.28,24.00,207.31,287.16,154.94,17.84,18.72,18.47
Cd34,,NM_001111059.1,,Endogenous,mRNA,100.00,125.07,117.22,99.00,553.54,494.03,573.34,201.78,132.34,177.39,471.22,524.05,539.60
Cd36,,NM_007643.3,,Endogenous,mRNA,100.00,6179.57,7378.61,10545.85,6791.99,8913.26,8435.48,7252.95,14447.65,5006.32,9018.11,8639.58,8811.90
Cd38,,NM_007646.4,,Endogenous,mRNA,100.00,14.54,10.10,12.37,160.75,159.64,158.55,8.29,12.49,7.86,176.00,179.88,159.79
Cd40,,NM_011611.2,,Endogenous,mRNA,100.00,63.99,80.84,78.05,83.87,85.96,70.27,85.69,83.23,113.40,81.11,65.51,71.47
Cd40lg,,NM_011616.2,,Endogenous,mRNA,100.00,1.45,6.06,3.81,9.78,10.39,11.14,8.29,6.66,7.86,9.73,9.36,12.04
Cd44,,NM_009851.2,,Endogenous,mRNA,100.00,32.00,29.30,35.22,9.78,2.83,10.28,19.35,29.13,26.95,7.30,10.40,9.64
Cd47,,NM_010581.3,,Endogenous,mRNA,100.00,987.51,1212.59,1315.50,972.88,1034.34,1079.82,1353.02,1640.53,1397.82,1021.12,1044.98,1112.13
Cd68,,NM_009853.1,,Endogenous,mRNA,100.00,24578.65,21941.80,20834.70,148.17,88.79,117.41,20998.72,21241.99,21767.79,107.87,86.30,69.86
Cd69,,NM_001033122.3,,Endogenous,mRNA,100.00,11.63,5.05,11.42,15.38,16.06,10.28,9.67,14.98,23.58,21.09,18.72,14.45
Cd70,,NM_011617.1,,Endogenous,mRNA,100.00,7.27,8.08,11.42,11.18,2.83,7.71,6.91,4.99,5.61,8.92,13.52,10.44
Cd74,,NM_001042605.1,,Endogenous,mRNA,100.00,9118.82,7093.65,8938.13,5250.20,3450.63,4279.87,7862.43,12341.84,7258.55,3741.39,2955.07,2738.96
Cd80,,NM_009855.2,,Endogenous,mRNA,100.00,53.81,72.76,76.15,16.77,18.89,19.71,59.43,76.57,56.14,16.22,12.48,13.65
Cd83,,NM_009856.2,,Endogenous,mRNA,100.00,407.22,465.84,405.50,53.12,68.01,51.42,496.15,574.31,531.06,70.56,56.15,48.18
Cd84,,NM_001252472.1,,Endogenous,mRNA,100.00,1831.04,2089.70,2918.46,47.53,28.34,43.71,2530.52,4343.95,2233.14,37.31,29.11,18.47
Cd86,,NM_019388.3,,Endogenous,mRNA,100.00,29.09,34.36,39.03,82.47,44.40,42.85,40.08,39.12,34.81,44.61,40.55,41.75
Cd99,,NM_025584.2,,Endogenous,mRNA,100.00,117.80,112.16,98.04,55.91,44.40,35.14,131.29,111.53,121.26,50.29,57.19,32.92
Cdc20,,NM_023223.2,,Endogenous,mRNA,100.00,344.68,325.38,270.33,37.74,52.90,61.70,345.51,363.73,350.30,44.61,61.35,54.60
Cdh1,,NM_009864.2,,Endogenous,mRNA,100.00,13.09,11.12,11.42,2571.98,2349.23,2492.17,6.91,10.82,11.23,2495.61,2612.98,2420.18
Cdh11,,NM_009866.4,,Endogenous,mRNA,100.00,7.27,7.07,5.71,308.92,221.04,311.95,4.15,9.99,4.49,332.53,234.99,216.00
Cdh13,,NM_019707.4,,Endogenous,mRNA,100.00,8.73,9.09,10.47,79.68,67.07,66.85,6.91,9.16,4.49,64.88,65.51,62.63
Cdh2,,NM_007664.4,,Endogenous,mRNA,100.00,4.36,5.05,10.47,192.90,257.88,229.68,2.76,6.66,10.10,218.17,306.74,243.30
Cdh4,,NM_001316723.1,,Endogenous,mRNA,100.00,20.36,9.09,14.28,27.96,27.39,30.85,12.44,13.32,26.95,29.20,32.23,32.12
Cdh5,,NM_009868.3,,Endogenous,mRNA,100.00,11.63,11.12,6.66,218.06,204.98,201.40,15.20,14.98,8.98,221.42,176.76,173.44
Cdkn1a,,NM_007669.4,,Endogenous,mRNA,100.00,2114.64,1652.15,1834.27,128.60,63.29,71.13,1444.23,1497.37,1533.67,98.14,56.15,52.19
Ceacam1,,NM_001039185.1,,Endogenous,mRNA,100.00,61.08,61.64,53.31,220.86,187.98,186.83,51.14,65.75,59.51,197.09,175.72,189.50
Ceacam2,,NM_007543.4,,Endogenous,mRNA,100.00,4.36,3.03,8.57,47.53,192.70,174.83,11.06,4.99,2.25,43.80,84.22,42.56
Cebpa,,NM_007678.3,,Endogenous,mRNA,100.00,2308.07,2107.88,2133.16,810.73,758.52,579.33,2211.26,2224.83,2293.77,738.87,698.74,683.34
Cebpb,,NM_009883.3,,Endogenous,mRNA,100.00,988.96,997.35,1048.02,434.72,468.52,336.80,928.73,1244.34,1240.63,345.51,364.96,310.75
Cebpd,,NM_007679.4,,Endogenous,mRNA,100.00,43.63,29.30,31.41,16.77,20.78,19.71,41.46,31.63,33.68,8.92,9.36,13.65
Cebpg,,NM_009884.3,,Endogenous,mRNA,100.00,13.09,24.25,30.46,41.93,51.95,49.71,30.40,54.10,38.17,37.31,59.27,40.95
Chil3,,NM_009892.2,,Endogenous,mRNA,100.00,21.82,19.20,21.89,53.12,63.29,44.56,11.06,9.99,10.10,34.06,37.43,39.35
Chil4,,NM_145126.2,,Endogenous,mRNA,100.00,2.91,10.10,5.71,23.76,18.89,28.28,9.67,5.83,6.74,18.65,24.95,14.45
Cldn1,,NM_016674.3,,Endogenous,mRNA,100.00,11.63,11.12,6.66,320.10,261.65,294.81,23.49,6.66,11.23,364.16,298.42,301.92
Clec1b,,NM_001204239.1,,Endogenous,mRNA,100.00,5.82,7.07,11.42,16.77,22.67,13.71,8.29,14.15,13.47,8.92,19.76,12.04
Clec5a,,NM_001038604.1,,Endogenous,mRNA,100.00,72.72,93.98,92.33,16.77,10.39,13.71,129.91,195.60,120.13,10.54,14.56,12.04
Clec7a,,NM_020008.2,,Endogenous,mRNA,100.00,394.13,616.40,1028.98,47.53,23.62,41.14,775.32,2156.58,840.94,47.04,25.99,35.33
Clec9a,,NM_172732.3,,Endogenous,mRNA,100.00,13.09,8.08,9.52,44.73,36.84,43.71,12.44,10.82,11.23,40.55,35.35,28.10
Clic4,,NM_013885.2,,Endogenous,mRNA,100.00,1815.04,1874.46,2026.55,1179.76,909.65,940.99,1652.92,1941.00,1958.07,1028.42,835.99,925.84
Cma1,,NM_010780.3,,Endogenous,mRNA,100.00,20.36,7.07,14.28,20.97,12.28,8.57,12.44,13.32,6.74,10.54,12.48,8.83
Cnksr1,,NM_001081047.1,,Endogenous,mRNA,100.00,18.91,5.05,4.76,145.37,167.19,196.25,11.06,9.16,12.35,149.23,172.60,143.73
Cnn2,,NM_007725.2,,Endogenous,mRNA,100.00,202.16,201.09,196.09,206.88,198.37,257.96,210.07,203.92,222.30,193.03,203.80,198.34
Coasy,,NM_001305982.1,,Endogenous,mRNA,100.00,187.61,170.77,146.59,1751.46,1900.54,1987.39,145.11,163.14,153.82,1964.37,2099.33,2098.19
Col10a1,,NM_009925.4,,Endogenous,mRNA,100.00,13.09,11.12,14.28,6.99,7.56,8.57,5.53,12.49,8.98,9.73,9.36,4.01
Col11a1,,NM_007729.2,,Endogenous,mRNA,100.00,20.36,13.14,18.09,5.59,11.34,10.28,17.97,10.82,15.72,9.73,7.28,8.83
