Probe Name,Annotation,Accession #,NS Probe ID,Class Name,Analyte Type,% Samples above Threshold,20190927_RQ-016723_Control-1_01.RCC,20190927_RQ-016723_Control-2_02.RCC,20190927_RQ-016723_Control-3_03.RCC,20190927_RQ-016723_Control-K-1_07.RCC,20190927_RQ-016723_Control-K-2_08.RCC,20190927_RQ-016723_Control-K-3_09.RCC,20190927_RQ-016723_FHKO-1_04.RCC,20190927_RQ-016723_FHKO-2_05.RCC,20190927_RQ-016723_FHKO-3_06.RCC,20190927_RQ-016723_FHKO-K-1_10.RCC,20190927_RQ-016723_FHKO-K-2_11.RCC,20190927_RQ-016723_FHKO-K-3_12.RCC
Adamts14,,NM_001081127.1,,Endogenous,mRNA,100.00,5.00,8.00,8.00,20.00,28.00,34.00,7.00,9.00,6.00,19.00,25.00,29.00
Adamts17,,NM_001033877.4,,Endogenous,mRNA,100.00,12.00,17.00,19.00,24.00,27.00,39.00,15.00,25.00,23.00,24.00,22.00,31.00
Adamts2,,NM_001277305.1,,Endogenous,mRNA,100.00,17.00,23.00,20.00,82.00,108.00,127.00,13.00,21.00,19.00,112.00,77.00,113.00
Adamts3,,NM_001081401.2,,Endogenous,mRNA,100.00,9.00,12.00,9.00,23.00,31.00,30.00,13.00,11.00,12.00,31.00,28.00,37.00
Adamts4,,NM_172845.2,,Endogenous,mRNA,100.00,12.00,13.00,16.00,28.00,19.00,21.00,12.00,17.00,14.00,27.00,11.00,19.00
Adamts9,,NM_175314.3,,Endogenous,mRNA,100.00,6.00,9.00,4.00,69.00,125.00,143.00,10.00,3.00,7.00,145.00,130.00,139.00
Adcyap1r1,,NM_001025372.1,,Endogenous,mRNA,100.00,6.00,11.00,9.00,13.00,20.00,28.00,8.00,12.00,13.00,17.00,22.00,19.00
Adgre1,,NM_010130.1,,Endogenous,mRNA,100.00,8007.00,12316.00,12760.00,110.00,123.00,148.00,9531.00,15582.00,11560.00,134.00,58.00,80.00
Adgre5,,NM_011925.1,,Endogenous,mRNA,100.00,192.00,241.00,264.00,237.00,335.00,404.00,156.00,359.00,209.00,389.00,350.00,403.00
Adora2a,,NM_009630.2,,Endogenous,mRNA,91.67,3.00,5.00,6.00,21.00,29.00,40.00,10.00,5.00,1.00,37.00,30.00,32.00
Adora3,,NM_009631.4,,Endogenous,mRNA,100.00,18.00,23.00,23.00,18.00,23.00,19.00,15.00,30.00,17.00,24.00,7.00,11.00
Aif1,,NM_019467.2,,Endogenous,mRNA,100.00,12.00,5.00,9.00,9.00,14.00,14.00,5.00,7.00,10.00,10.00,9.00,6.00
Akap13,,NM_029332.1,,Endogenous,mRNA,100.00,116.00,137.00,156.00,403.00,671.00,772.00,114.00,224.00,141.00,756.00,637.00,806.00
Alcam,,NM_009655.1,,Endogenous,mRNA,100.00,1348.00,2180.00,3416.00,308.00,485.00,484.00,1951.00,5044.00,2617.00,510.00,313.00,437.00
Alox15,,NM_009660.3,,Endogenous,mRNA,100.00,8.00,6.00,10.00,7.00,14.00,12.00,4.00,9.00,5.00,11.00,6.00,16.00
Alox5,,NM_009662.2,,Endogenous,mRNA,100.00,12.00,24.00,24.00,11.00,22.00,21.00,14.00,23.00,11.00,17.00,12.00,13.00
Alox5ap,,NM_009663.1,,Endogenous,mRNA,100.00,2020.00,3055.00,3010.00,44.00,63.00,79.00,2218.00,3617.00,2793.00,71.00,55.00,45.00
Amica1,,NM_001005421.4,,Endogenous,mRNA,100.00,13.00,18.00,16.00,37.00,20.00,36.00,10.00,14.00,8.00,49.00,21.00,34.00
Angpt1,,NM_009640.3,,Endogenous,mRNA,100.00,2.00,13.00,12.00,119.00,143.00,157.00,14.00,9.00,10.00,214.00,137.00,206.00
Angpt2,,NM_007426.3,,Endogenous,mRNA,100.00,49.00,65.00,125.00,75.00,158.00,204.00,60.00,102.00,82.00,141.00,96.00,88.00
Anxa1,,NM_010730.2,,Endogenous,mRNA,100.00,4666.00,6152.00,8103.00,100.00,102.00,150.00,4421.00,13834.00,4951.00,146.00,88.00,119.00
Anxa4,,NM_013471.2,,Endogenous,mRNA,100.00,3580.00,5047.00,5637.00,697.00,1121.00,1246.00,3157.00,6220.00,4104.00,1257.00,905.00,1231.00
Aoah,,NM_001281854.1,,Endogenous,mRNA,100.00,25.00,54.00,56.00,392.00,625.00,757.00,45.00,76.00,50.00,1016.00,786.00,1037.00
Apoe,,NM_001305844.1,,Endogenous,mRNA,100.00,8673.00,14670.00,13204.00,1110.00,1328.00,1336.00,8939.00,16064.00,11468.00,1733.00,1221.00,1460.00
Areg,,NM_009704.3,,Endogenous,mRNA,100.00,11.00,9.00,17.00,9.00,19.00,17.00,17.00,33.00,11.00,9.00,14.00,14.00
Arf6,,NM_007481.2,,Endogenous,mRNA,100.00,2824.00,4171.00,4657.00,1227.00,1633.00,1844.00,3255.00,6733.00,4578.00,2012.00,1201.00,1803.00
Arg1,,NM_007482.3,,Endogenous,mRNA,100.00,15.00,10.00,23.00,12.00,14.00,9.00,10.00,12.00,22.00,19.00,13.00,22.00
Arhgef28,,NM_012026.2,,Endogenous,mRNA,100.00,11.00,10.00,5.00,613.00,825.00,1007.00,4.00,5.00,5.00,1177.00,915.00,1115.00
Arhgef6,,NM_152801.2,,Endogenous,mRNA,100.00,346.00,620.00,809.00,103.00,131.00,163.00,610.00,1270.00,674.00,173.00,124.00,148.00
Armc1,,NM_028840.2,,Endogenous,mRNA,100.00,133.00,264.00,366.00,588.00,950.00,1118.00,220.00,457.00,312.00,1073.00,795.00,1080.00
Atf3,,NM_007498.3,,Endogenous,mRNA,100.00,3635.00,4462.00,5236.00,34.00,31.00,47.00,2824.00,5253.00,3476.00,29.00,30.00,22.00
B4galt4,,NM_019804.3,,Endogenous,mRNA,100.00,128.00,195.00,246.00,134.00,184.00,186.00,157.00,331.00,195.00,223.00,156.00,212.00
Batf,,NM_016767.2,,Endogenous,mRNA,100.00,29.00,45.00,35.00,13.00,13.00,13.00,32.00,47.00,25.00,9.00,11.00,17.00
Batf3,,NM_030060.2,,Endogenous,mRNA,100.00,35.00,39.00,42.00,19.00,21.00,23.00,27.00,57.00,41.00,33.00,17.00,29.00
Bcl10,,NM_009740.1,,Endogenous,mRNA,100.00,387.00,582.00,736.00,207.00,351.00,411.00,499.00,916.00,615.00,381.00,367.00,414.00
Bcl2,,NM_009741.3,,Endogenous,mRNA,100.00,11.00,26.00,39.00,84.00,122.00,112.00,23.00,61.00,34.00,119.00,114.00,107.00
Bcl6,,NM_009744.3,,Endogenous,mRNA,100.00,236.00,347.00,383.00,126.00,160.00,85.00,306.00,477.00,383.00,452.00,132.00,138.00
Bid,,NM_007544.3,,Endogenous,mRNA,100.00,219.00,309.00,406.00,738.00,923.00,915.00,260.00,526.00,454.00,1241.00,910.00,1283.00
Birc2,,NM_007465.2,,Endogenous,mRNA,100.00,47.00,80.00,100.00,316.00,466.00,513.00,68.00,158.00,63.00,540.00,457.00,592.00
Birc3,,NM_007464.3,,Endogenous,mRNA,100.00,85.00,154.00,219.00,105.00,116.00,124.00,123.00,290.00,186.00,146.00,95.00,104.00
Birc5,,NM_009689.2,,Endogenous,mRNA,100.00,155.00,270.00,296.00,14.00,17.00,30.00,244.00,438.00,318.00,20.00,27.00,20.00
Bmp6,,NM_007556.2,,Endogenous,mRNA,100.00,8.00,12.00,11.00,727.00,773.00,707.00,6.00,7.00,6.00,954.00,708.00,924.00
Bmp8a,,NM_001256019.1,,Endogenous,mRNA,100.00,12.00,8.00,11.00,13.00,13.00,10.00,7.00,20.00,18.00,22.00,12.00,12.00
Btg2,,NM_007570.2,,Endogenous,mRNA,100.00,151.00,252.00,291.00,123.00,192.00,202.00,210.00,359.00,231.00,231.00,183.00,226.00
Btk,,NM_013482.2,,Endogenous,mRNA,100.00,546.00,851.00,995.00,30.00,23.00,42.00,646.00,1258.00,841.00,41.00,31.00,27.00
Btla,,NM_001037719.2,,Endogenous,mRNA,100.00,16.00,13.00,6.00,28.00,36.00,41.00,9.00,11.00,11.00,33.00,34.00,34.00
C1qa,,NM_007572.2,,Endogenous,mRNA,100.00,2203.00,3242.00,3067.00,258.00,219.00,318.00,2787.00,3820.00,2987.00,338.00,189.00,241.00
C1qb,,NM_009777.2,,Endogenous,mRNA,100.00,13507.00,19412.00,17524.00,280.00,280.00,410.00,13927.00,21142.00,15304.00,389.00,228.00,292.00
C1qc,,NM_007574.2,,Endogenous,mRNA,100.00,11400.00,16734.00,15567.00,310.00,313.00,395.00,11609.00,18795.00,14682.00,419.00,248.00,295.00
C3,,XM_011246258.1,,Endogenous,mRNA,100.00,100.00,152.00,120.00,387.00,348.00,344.00,88.00,176.00,133.00,482.00,285.00,339.00
C3ar1,,NM_009779.2,,Endogenous,mRNA,100.00,7213.00,11560.00,12765.00,105.00,89.00,96.00,9585.00,16075.00,11353.00,113.00,72.00,74.00
C4a,,NM_011413.2,,Endogenous,mRNA,100.00,3.00,5.00,10.00,82.00,99.00,138.00,8.00,6.00,4.00,126.00,116.00,127.00
C5ar1,,NM_007577.3,,Endogenous,mRNA,100.00,7420.00,9429.00,9867.00,51.00,41.00,82.00,6588.00,11627.00,9439.00,45.00,34.00,37.00
Calr,,NM_007591.3,,Endogenous,mRNA,100.00,9884.00,12564.00,12950.00,8353.00,10921.00,9749.00,8764.00,14530.00,11133.00,13220.00,8933.00,11091.00
Camp,,NM_009921.2,,Endogenous,mRNA,100.00,6.00,9.00,11.00,9.00,8.00,7.00,12.00,11.00,11.00,8.00,12.00,10.00
Casp1,,NM_009807.2,,Endogenous,mRNA,100.00,363.00,526.00,600.00,40.00,55.00,62.00,386.00,1129.00,533.00,42.00,37.00,40.00
Casp7,,NM_007611.2,,Endogenous,mRNA,100.00,294.00,437.00,456.00,199.00,337.00,352.00,316.00,594.00,415.00,363.00,239.00,344.00
Cav1,,NM_007616.3,,Endogenous,mRNA,100.00,20.00,23.00,31.00,461.00,606.00,634.00,34.00,59.00,35.00,591.00,624.00,735.00
Cbr1,,NM_007620.2,,Endogenous,mRNA,100.00,219.00,300.00,302.00,569.00,502.00,502.00,173.00,326.00,238.00,634.00,419.00,495.00
Ccl1,,NM_011329.2,,Endogenous,mRNA,100.00,9.00,8.00,9.00,5.00,21.00,10.00,7.00,14.00,4.00,8.00,9.00,12.00
Ccl11,,NM_011330.3,,Endogenous,mRNA,100.00,4.00,6.00,3.00,21.00,27.00,26.00,6.00,4.00,5.00,11.00,25.00,30.00
Ccl12,,NM_011331.2,,Endogenous,mRNA,100.00,12.00,18.00,29.00,27.00,33.00,28.00,14.00,42.00,33.00,17.00,26.00,52.00
Ccl17,,NM_011332.2,,Endogenous,mRNA,100.00,16.00,19.00,14.00,12.00,15.00,17.00,11.00,22.00,11.00,17.00,11.00,11.00
Ccl19,,NM_011888.2,,Endogenous,mRNA,91.67,4.00,10.00,11.00,92.00,109.00,145.00,1.00,15.00,5.00,131.00,83.00,134.00
Ccl2,,NM_011333.3,,Endogenous,mRNA,100.00,851.00,1020.00,1320.00,31.00,38.00,47.00,660.00,2203.00,1499.00,55.00,23.00,43.00
Ccl20,,NM_016960.1,,Endogenous,mRNA,100.00,3.00,9.00,10.00,9.00,11.00,6.00,8.00,9.00,6.00,13.00,6.00,11.00
Ccl21a,,NM_011124.4,,Endogenous,mRNA,100.00,7.00,11.00,5.00,448.00,521.00,589.00,8.00,10.00,10.00,578.00,410.00,678.00
Ccl22,,NM_009137.2,,Endogenous,mRNA,100.00,31.00,25.00,22.00,12.00,27.00,31.00,21.00,39.00,24.00,32.00,27.00,21.00
Ccl24,,NM_019577.4,,Endogenous,mRNA,100.00,11.00,17.00,15.00,7.00,25.00,14.00,12.00,31.00,12.00,27.00,21.00,22.00
Ccl25,,NM_009138.3,,Endogenous,mRNA,100.00,16.00,16.00,18.00,58.00,112.00,101.00,16.00,29.00,22.00,125.00,80.00,71.00
Ccl26,,NM_001013412.2,,Endogenous,mRNA,100.00,22.00,27.00,34.00,10.00,10.00,16.00,24.00,33.00,22.00,9.00,9.00,17.00
Ccl27a,,NM_001048179.1,,Endogenous,mRNA,100.00,19.00,18.00,21.00,57.00,102.00,99.00,17.00,45.00,30.00,126.00,105.00,93.00
Ccl28,,NM_020279.3,,Endogenous,mRNA,100.00,4.00,8.00,3.00,38.00,129.00,156.00,3.00,4.00,7.00,127.00,73.00,114.00
Ccl3,,NM_011337.1,,Endogenous,mRNA,100.00,1159.00,1467.00,1560.00,29.00,34.00,34.00,866.00,1791.00,1393.00,36.00,27.00,21.00
Ccl4,,NM_013652.1,,Endogenous,mRNA,100.00,148.00,200.00,221.00,11.00,21.00,16.00,102.00,280.00,256.00,15.00,16.00,11.00
Ccl5,,NM_013653.1,,Endogenous,mRNA,100.00,14.00,41.00,25.00,62.00,80.00,91.00,16.00,28.00,18.00,142.00,42.00,50.00
Ccl6,,NM_009139.2,,Endogenous,mRNA,100.00,729.00,1271.00,1746.00,26.00,35.00,37.00,812.00,2080.00,1180.00,24.00,29.00,27.00
Ccl7,,NM_013654.3,,Endogenous,mRNA,100.00,69.00,97.00,121.00,12.00,16.00,10.00,68.00,232.00,128.00,21.00,16.00,7.00
Ccl8,,NM_021443.2,,Endogenous,mRNA,100.00,12.00,10.00,6.00,25.00,32.00,34.00,6.00,18.00,5.00,35.00,31.00,29.00
Ccl9,,NM_011338.2,,Endogenous,mRNA,100.00,15756.00,24539.00,26751.00,74.00,80.00,115.00,17774.00,31293.00,22049.00,113.00,77.00,65.00
Ccnb2,,NM_007630.2,,Endogenous,mRNA,100.00,212.00,389.00,349.00,27.00,25.00,52.00,321.00,521.00,397.00,39.00,29.00,22.00
Ccr1,,NM_009912.4,,Endogenous,mRNA,100.00,101.00,131.00,205.00,14.00,18.00,17.00,102.00,205.00,100.00,21.00,19.00,20.00
Ccr2,,NM_009915.2,,Endogenous,mRNA,100.00,68.00,157.00,215.00,134.00,152.00,253.00,172.00,613.00,228.00,275.00,136.00,169.00
Ccr3,,NM_009914.4,,Endogenous,mRNA,100.00,33.00,64.00,106.00,5.00,15.00,9.00,53.00,106.00,68.00,10.00,12.00,8.00
Ccr4,,NM_009916.2,,Endogenous,mRNA,100.00,8.00,7.00,10.00,7.00,10.00,11.00,4.00,13.00,6.00,9.00,18.00,15.00
Ccr5,,NM_009917.5,,Endogenous,mRNA,100.00,188.00,419.00,603.00,37.00,30.00,56.00,459.00,918.00,503.00,33.00,23.00,30.00
Ccr6,,NM_001190333.1,,Endogenous,mRNA,100.00,6.00,8.00,17.00,9.00,14.00,23.00,4.00,8.00,12.00,10.00,14.00,12.00
Ccr7,,NM_007719.2,,Endogenous,mRNA,100.00,6.00,18.00,10.00,21.00,23.00,20.00,11.00,7.00,10.00,18.00,17.00,20.00
Ccr8,,NM_007720.2,,Endogenous,mRNA,100.00,19.00,16.00,22.00,13.00,19.00,16.00,7.00,24.00,15.00,10.00,14.00,14.00
Ccr9,,NM_009913.6,,Endogenous,mRNA,100.00,18.00,24.00,28.00,24.00,27.00,31.00,16.00,31.00,27.00,17.00,19.00,30.00
Ccrl2,,NM_017466.4,,Endogenous,mRNA,100.00,87.00,110.00,123.00,63.00,81.00,70.00,87.00,117.00,77.00,101.00,71.00,84.00
Cd14,,NM_009841.3,,Endogenous,mRNA,100.00,2442.00,3378.00,3358.00,45.00,54.00,87.00,2590.00,4133.00,3240.00,68.00,36.00,49.00
Cd151,,NM_009842.3,,Endogenous,mRNA,100.00,492.00,572.00,549.00,708.00,1006.00,1133.00,403.00,673.00,411.00,1107.00,843.00,1180.00
Cd163,,NM_053094.2,,Endogenous,mRNA,100.00,27.00,24.00,23.00,14.00,32.00,28.00,13.00,38.00,20.00,19.00,34.00,35.00
Cd180,,NM_008533.2,,Endogenous,mRNA,100.00,2664.00,3712.00,4724.00,90.00,98.00,113.00,3237.00,6265.00,4062.00,123.00,69.00,101.00
Cd1d1,,NM_007639.3,,Endogenous,mRNA,100.00,55.00,72.00,78.00,141.00,170.00,125.00,61.00,155.00,133.00,134.00,103.00,101.00
Cd1d2,,NM_007640.2,,Endogenous,mRNA,100.00,8.00,14.00,15.00,12.00,10.00,12.00,9.00,11.00,12.00,5.00,14.00,9.00
Cd209e,,NM_130905.2,,Endogenous,mRNA,100.00,8.00,2.00,7.00,7.00,14.00,12.00,7.00,17.00,4.00,10.00,12.00,7.00
Cd244,,NM_018729.2,,Endogenous,mRNA,100.00,38.00,64.00,86.00,24.00,30.00,38.00,61.00,114.00,76.00,32.00,24.00,20.00
Cd247,,NM_001113391.2,,Endogenous,mRNA,100.00,10.00,15.00,12.00,21.00,38.00,32.00,12.00,21.00,18.00,29.00,26.00,27.00
Cd27,,NM_001042564.1,,Endogenous,mRNA,100.00,5.00,7.00,8.00,7.00,18.00,17.00,7.00,6.00,6.00,12.00,13.00,13.00
Cd274,,NM_021893.2,,Endogenous,mRNA,100.00,109.00,128.00,187.00,114.00,149.00,142.00,107.00,264.00,144.00,157.00,102.00,251.00
Cd276,,NM_133983.4,,Endogenous,mRNA,100.00,61.00,71.00,86.00,15.00,18.00,12.00,47.00,81.00,62.00,21.00,19.00,15.00
Cd28,,NM_007642.4,,Endogenous,mRNA,100.00,57.00,190.00,254.00,15.00,31.00,28.00,150.00,345.00,138.00,22.00,18.00,23.00
Cd34,,NM_001111059.1,,Endogenous,mRNA,100.00,86.00,116.00,104.00,396.00,523.00,669.00,146.00,159.00,158.00,581.00,504.00,672.00
Cd36,,NM_007643.3,,Endogenous,mRNA,100.00,4249.00,7302.00,11079.00,4859.00,9436.00,9843.00,5248.00,17358.00,4459.00,11119.00,8309.00,10974.00
Cd38,,NM_007646.4,,Endogenous,mRNA,100.00,10.00,10.00,13.00,115.00,169.00,185.00,6.00,15.00,7.00,217.00,173.00,199.00
Cd40,,NM_011611.2,,Endogenous,mRNA,100.00,44.00,80.00,82.00,60.00,91.00,82.00,62.00,100.00,101.00,100.00,63.00,89.00
Cd40lg,,NM_011616.2,,Endogenous,mRNA,91.67,1.00,6.00,4.00,7.00,11.00,13.00,6.00,8.00,7.00,12.00,9.00,15.00
Cd44,,NM_009851.2,,Endogenous,mRNA,100.00,22.00,29.00,37.00,7.00,3.00,12.00,14.00,35.00,24.00,9.00,10.00,12.00
Cd47,,NM_010581.3,,Endogenous,mRNA,100.00,679.00,1200.00,1382.00,696.00,1095.00,1260.00,979.00,1971.00,1245.00,1259.00,1005.00,1385.00
Cd68,,NM_009853.1,,Endogenous,mRNA,100.00,16900.00,21714.00,21888.00,106.00,94.00,137.00,15194.00,25521.00,19388.00,133.00,83.00,87.00
Cd69,,NM_001033122.3,,Endogenous,mRNA,100.00,8.00,5.00,12.00,11.00,17.00,12.00,7.00,18.00,21.00,26.00,18.00,18.00
Cd70,,NM_011617.1,,Endogenous,mRNA,100.00,5.00,8.00,12.00,8.00,3.00,9.00,5.00,6.00,5.00,11.00,13.00,13.00
Cd74,,NM_001042605.1,,Endogenous,mRNA,100.00,6270.00,7020.00,9390.00,3756.00,3653.00,4994.00,5689.00,14828.00,6465.00,4613.00,2842.00,3411.00
Cd80,,NM_009855.2,,Endogenous,mRNA,100.00,37.00,72.00,80.00,12.00,20.00,23.00,43.00,92.00,50.00,20.00,12.00,17.00
Cd83,,NM_009856.2,,Endogenous,mRNA,100.00,280.00,461.00,426.00,38.00,72.00,60.00,359.00,690.00,473.00,87.00,54.00,60.00
Cd84,,NM_001252472.1,,Endogenous,mRNA,100.00,1259.00,2068.00,3066.00,34.00,30.00,51.00,1831.00,5219.00,1989.00,46.00,28.00,23.00
Cd86,,NM_019388.3,,Endogenous,mRNA,100.00,20.00,34.00,41.00,59.00,47.00,50.00,29.00,47.00,31.00,55.00,39.00,52.00
Cd99,,NM_025584.2,,Endogenous,mRNA,100.00,81.00,111.00,103.00,40.00,47.00,41.00,95.00,134.00,108.00,62.00,55.00,41.00
Cdc20,,NM_023223.2,,Endogenous,mRNA,100.00,237.00,322.00,284.00,27.00,56.00,72.00,250.00,437.00,312.00,55.00,59.00,68.00
Cdh1,,NM_009864.2,,Endogenous,mRNA,100.00,9.00,11.00,12.00,1840.00,2487.00,2908.00,5.00,13.00,10.00,3077.00,2513.00,3014.00
Cdh11,,NM_009866.4,,Endogenous,mRNA,100.00,5.00,7.00,6.00,221.00,234.00,364.00,3.00,12.00,4.00,410.00,226.00,269.00
Cdh13,,NM_019707.4,,Endogenous,mRNA,100.00,6.00,9.00,11.00,57.00,71.00,78.00,5.00,11.00,4.00,80.00,63.00,78.00
Cdh2,,NM_007664.4,,Endogenous,mRNA,100.00,3.00,5.00,11.00,138.00,273.00,268.00,2.00,8.00,9.00,269.00,295.00,303.00
Cdh4,,NM_001316723.1,,Endogenous,mRNA,100.00,14.00,9.00,15.00,20.00,29.00,36.00,9.00,16.00,24.00,36.00,31.00,40.00
Cdh5,,NM_009868.3,,Endogenous,mRNA,100.00,8.00,11.00,7.00,156.00,217.00,235.00,11.00,18.00,8.00,273.00,170.00,216.00
Cdkn1a,,NM_007669.4,,Endogenous,mRNA,100.00,1454.00,1635.00,1927.00,92.00,67.00,83.00,1045.00,1799.00,1366.00,121.00,54.00,65.00
Ceacam1,,NM_001039185.1,,Endogenous,mRNA,100.00,42.00,61.00,56.00,158.00,199.00,218.00,37.00,79.00,53.00,243.00,169.00,236.00
Ceacam2,,NM_007543.4,,Endogenous,mRNA,100.00,3.00,3.00,9.00,34.00,204.00,204.00,8.00,6.00,2.00,54.00,81.00,53.00
Cebpa,,NM_007678.3,,Endogenous,mRNA,100.00,1587.00,2086.00,2241.00,580.00,803.00,676.00,1600.00,2673.00,2043.00,911.00,672.00,851.00
Cebpb,,NM_009883.3,,Endogenous,mRNA,100.00,680.00,987.00,1101.00,311.00,496.00,393.00,672.00,1495.00,1105.00,426.00,351.00,387.00
Cebpd,,NM_007679.4,,Endogenous,mRNA,100.00,30.00,29.00,33.00,12.00,22.00,23.00,30.00,38.00,30.00,11.00,9.00,17.00
Cebpg,,NM_009884.3,,Endogenous,mRNA,100.00,9.00,24.00,32.00,30.00,55.00,58.00,22.00,65.00,34.00,46.00,57.00,51.00
Chil3,,NM_009892.2,,Endogenous,mRNA,100.00,15.00,19.00,23.00,38.00,67.00,52.00,8.00,12.00,9.00,42.00,36.00,49.00
Chil4,,NM_145126.2,,Endogenous,mRNA,100.00,2.00,10.00,6.00,17.00,20.00,33.00,7.00,7.00,6.00,23.00,24.00,18.00
Cldn1,,NM_016674.3,,Endogenous,mRNA,100.00,8.00,11.00,7.00,229.00,277.00,344.00,17.00,8.00,10.00,449.00,287.00,376.00
Clec1b,,NM_001204239.1,,Endogenous,mRNA,100.00,4.00,7.00,12.00,12.00,24.00,16.00,6.00,17.00,12.00,11.00,19.00,15.00
Clec5a,,NM_001038604.1,,Endogenous,mRNA,100.00,50.00,93.00,97.00,12.00,11.00,16.00,94.00,235.00,107.00,13.00,14.00,15.00
Clec7a,,NM_020008.2,,Endogenous,mRNA,100.00,271.00,610.00,1081.00,34.00,25.00,48.00,561.00,2591.00,749.00,58.00,25.00,44.00
Clec9a,,NM_172732.3,,Endogenous,mRNA,100.00,9.00,8.00,10.00,32.00,39.00,51.00,9.00,13.00,10.00,50.00,34.00,35.00
Clic4,,NM_013885.2,,Endogenous,mRNA,100.00,1248.00,1855.00,2129.00,844.00,963.00,1098.00,1196.00,2332.00,1744.00,1268.00,804.00,1153.00
Cma1,,NM_010780.3,,Endogenous,mRNA,100.00,14.00,7.00,15.00,15.00,13.00,10.00,9.00,16.00,6.00,13.00,12.00,11.00
Cnksr1,,NM_001081047.1,,Endogenous,mRNA,100.00,13.00,5.00,5.00,104.00,177.00,229.00,8.00,11.00,11.00,184.00,166.00,179.00
Cnn2,,NM_007725.2,,Endogenous,mRNA,100.00,139.00,199.00,206.00,148.00,210.00,301.00,152.00,245.00,198.00,238.00,196.00,247.00
Coasy,,NM_001305982.1,,Endogenous,mRNA,100.00,129.00,169.00,154.00,1253.00,2012.00,2319.00,105.00,196.00,137.00,2422.00,2019.00,2613.00
Col10a1,,NM_009925.4,,Endogenous,mRNA,100.00,9.00,11.00,15.00,5.00,8.00,10.00,4.00,15.00,8.00,12.00,9.00,5.00
Col11a1,,NM_007729.2,,Endogenous,mRNA,100.00,14.00,13.00,19.00,4.00,12.00,12.00,13.00,13.00,14.00,12.00,7.00,11.00
